iter	RMSE
0	113.2587669
1	109.5442512
2	106.045108
3	102.7334896
4	99.66855237
5	96.67038733
6	94.04480894
7	91.36053898
8	88.9426927
9	86.57941948
10	84.4449484
11	82.45558992
12	80.55155713
13	78.74351625
14	77.1771558
15	75.68097608
16	74.22750099
17	72.84100514
18	71.64866074
19	70.52572462
20	69.29049605
21	68.14962359
22	67.19346234
23	66.22992408
24	65.45794891
25	64.63860545
26	63.79881735
27	62.98885973
28	62.2104968
29	61.62444437
30	61.02871958
31	60.3237284
32	59.68758251
33	59.12923354
34	58.60014133
35	58.14940554
36	57.63477531
37	57.15894978
38	56.73275288
39	56.30479643
40	55.90149922
41	55.55079189
42	55.19324982
43	54.89095933
44	54.59929137
45	54.31833772
46	54.08153486
47	53.79924726
48	53.52217855
49	53.32231004
50	53.0746264
51	52.86385309
52	52.64165496
53	52.42256407
54	52.23030244
55	51.98862223
56	51.83991765
57	51.71192053
58	51.56546698
59	51.39251365
60	51.22634354
61	51.05496902
62	50.93862241
63	50.8059152
64	50.67927818
65	50.5514419
66	50.43854828
67	50.31452495
68	50.18904237
69	50.06936872
70	49.97713431
71	49.85100688
72	49.77704227
73	49.66344427
74	49.58476218
75	49.49366718
76	49.36337785
77	49.27594117
78	49.16316903
79	49.07380036
80	48.99806228
81	48.93532208
82	48.87079174
83	48.81643596
84	48.73015137
85	48.65120634
86	48.57014738
87	48.50040153
88	48.42076761
89	48.37955715
90	48.30738618
91	48.21587637
92	48.13921858
93	48.05932475
94	47.98397973
95	47.93530571
96	47.89956861
97	47.82807583
98	47.765854
99	47.69103472
100	47.61740248
101	47.57250561
102	47.50479047
103	47.42586894
104	47.36566572
105	47.32114571
106	47.27569296
107	47.23890289
108	47.16778421
109	47.12952754
110	47.08630138
111	47.04539313
112	46.98139209
113	46.90163518
114	46.87501208
115	46.83974509
116	46.81105612
117	46.74261142
118	46.71896843
119	46.69699657
120	46.64643343
121	46.61621436
122	46.56635743
123	46.51645701
124	46.4625419
125	46.39408584
126	46.34306694
127	46.30290706
128	46.24995468
129	46.21403981
130	46.18101595
131	46.14997042
132	46.11610233
133	46.06394082
134	46.03225152
135	45.98524653
136	45.95601609
137	45.93311432
138	45.90534076
139	45.84395124
140	45.78770097
141	45.75824452
142	45.70204386
143	45.67291264
144	45.62308035
145	45.60366131
146	45.54327724
147	45.51297618
148	45.48810948
149	45.43948649
150	45.39530821
151	45.36102381
152	45.33792998
153	45.28842411
154	45.25700469
155	45.2257969
156	45.20703726
157	45.16842881
158	45.12152541
159	45.09622439
160	45.05366332
161	45.01521041
162	44.96992243
163	44.94436854
164	44.91699489
165	44.88193526
166	44.86439451
167	44.80756029
168	44.78941763
169	44.7569381
170	44.73473387
171	44.68203153
172	44.63552435
173	44.60481689
174	44.5621883
175	44.53801711
176	44.49930171
177	44.46008585
178	44.42275656
179	44.39806882
180	44.36072839
181	44.30882488
182	44.26868822
183	44.22225881
184	44.19742217
185	44.17453183
186	44.14175725
187	44.09695031
188	44.07372692
189	44.04511712
190	44.02089424
191	43.97733822
192	43.95623531
193	43.92247905
194	43.87666039
195	43.84182727
196	43.80161291
197	43.77483977
198	43.7384638
199	43.71370677
200	43.68704806
201	43.65707061
202	43.6126964
203	43.57270553
204	43.52818608
205	43.50387739
206	43.47723415
207	43.45472774
208	43.41731057
209	43.40161994
210	43.37135521
211	43.33544428
212	43.31079114
213	43.26958348
214	43.24351388
215	43.20606069
216	43.17739679
217	43.16042137
218	43.12794607
219	43.10145014
220	43.07333553
221	43.05005226
222	43.02252123
223	42.99097882
224	42.9487314
225	42.91193267
226	42.89691394
227	42.87444299
228	42.84937214
229	42.8235477
230	42.78245469
231	42.76327597
232	42.74438393
233	42.7254899
234	42.70751218
235	42.68075783
236	42.66128795
237	42.63822384
238	42.62471769
239	42.59708188
