iter	Passed	Remaining
0	1	1844
1	3	1673
2	8	2788
3	10	2504
4	11	2361
5	13	2252
6	15	2146
7	16	2086
8	18	2030
9	20	2000
10	22	2061
11	24	2048
12	26	2048
13	28	2019
14	30	2022
15	32	1980
16	33	1945
17	35	1922
18	37	1927
19	39	1921
20	40	1902
21	42	1885
22	44	1872
23	45	1864
24	47	1859
25	49	1864
26	51	1854
27	53	1848
28	55	1854
29	57	1844
30	58	1834
31	60	1826
32	62	1819
33	63	1811
34	66	1836
35	68	1837
36	70	1829
37	72	1828
38	74	1827
39	75	1823
40	77	1819
41	79	1818
42	81	1814
43	83	1811
44	86	1844
45	88	1840
46	90	1835
47	92	1826
48	93	1815
49	95	1805
50	96	1799
51	98	1790
52	99	1783
53	101	1784
54	103	1782
55	105	1776
56	107	1772
57	108	1762
58	109	1753
59	111	1744
60	113	1745
61	114	1739
62	116	1735
63	118	1732
64	119	1724
65	121	1716
66	122	1709
67	124	1702
68	125	1695
69	127	1690
70	128	1687
71	130	1682
72	132	1678
73	133	1675
74	135	1672
75	137	1668
76	138	1664
77	140	1660
78	142	1656
79	143	1652
80	145	1649
81	147	1646
82	149	1652
83	151	1655
84	153	1653
85	155	1650
86	157	1650
87	159	1651
88	160	1647
89	162	1641
90	163	1637
91	165	1631
92	166	1626
93	168	1621
94	169	1616
95	171	1610
96	172	1604
97	173	1600
98	175	1595
99	176	1591
100	178	1586
101	179	1582
102	181	1577
103	182	1573
104	184	1571
105	185	1566
106	187	1562
107	188	1557
108	189	1552
109	191	1551
110	193	1546
111	194	1541
112	195	1537
113	197	1534
114	199	1531
115	200	1530
116	202	1528
117	204	1529
118	206	1525
119	207	1521
120	208	1517
121	210	1513
122	211	1510
123	213	1506
124	214	1502
125	216	1498
126	217	1495
127	218	1491
128	220	1487
129	221	1483
130	223	1479
131	224	1476
132	225	1472
133	227	1469
134	228	1466
135	230	1462
136	231	1458
137	232	1455
138	234	1451
139	235	1447
140	237	1444
141	238	1441
142	239	1437
143	241	1434
144	243	1437
145	245	1436
146	247	1433
147	248	1429
148	249	1425
149	250	1422
150	252	1418
151	253	1414
152	254	1411
153	256	1408
154	258	1406
155	259	1405
156	261	1401
157	262	1398
158	263	1394
159	265	1391
160	266	1388
161	267	1384
162	269	1381
163	270	1378
164	271	1375
165	273	1372
166	274	1368
167	275	1366
168	277	1362
169	278	1359
170	279	1356
171	281	1353
172	282	1350
173	283	1346
174	285	1343
175	286	1340
176	287	1337
177	288	1334
178	290	1331
179	291	1329
180	293	1327
181	294	1325
182	296	1323
183	298	1322
184	299	1319
185	300	1316
186	302	1314
187	303	1312
188	305	1310
189	306	1308
190	308	1307
191	310	1305
192	311	1304
193	313	1302
194	315	1300
195	316	1298
196	318	1296
